City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Saint-Joseph,RE,-21.3667,55.6167,64.78,77,71,16.98,broken clouds
308,Rawson,AR,-43.3002,-65.1023,50.4,48,100,5.06,overcast clouds
309,Ibotirama,BR,-12.1853,-43.2206,71.17,27,1,1.28,clear sky
310,Trairi,BR,-3.2778,-39.2689,76.8,86,43,9.19,scattered clouds
311,Port Lincoln,AU,-34.7333,135.8667,59.52,52,100,25.21,overcast clouds
312,Clyde River,CA,70.4692,-68.5914,44.83,65,0,13.8,clear sky
313,Wanning,CN,18.8003,110.3967,78.87,90,100,6.51,heavy intensity rain
314,Tuy Hoa,VN,13.0833,109.3,83.07,66,98,17.45,overcast clouds
315,Berdigestyakh,RU,62.0989,126.6992,68.18,54,38,10.18,scattered clouds
316,Dehloran,IR,32.6941,47.2679,97.12,12,0,6.29,clear sky
317,Brae,GB,60.3964,-1.353,58.28,86,100,25.5,overcast clouds
318,Palu,ID,-0.8917,119.8707,87.71,62,47,1.7,scattered clouds
319,Kenai,US,60.5544,-151.2583,56.03,86,100,8.05,light rain
320,Kiruna,SE,67.8557,20.2251,45.52,100,100,4.61,overcast clouds
321,Tulsipur,NP,28.131,82.2973,80.49,79,96,2.91,overcast clouds
322,Benavente,ES,42.0025,-5.6783,69.1,49,6,9.24,clear sky
323,Honningsvag,NO,70.9821,25.9704,51.55,82,100,6.91,overcast clouds
324,Boo,SE,59.3333,18.2833,57.97,87,84,3.44,broken clouds
325,Sakaiminato,JP,35.55,133.2333,91.33,62,75,16.11,broken clouds
326,Vila Velha,BR,-20.3297,-40.2925,73.35,88,0,8.05,clear sky
327,Saqqez,IR,36.2499,46.2735,66.83,60,0,3.13,clear sky
328,Havelock,US,34.8791,-76.9013,85.98,85,7,10.49,clear sky
329,Ziro,IN,27.6333,93.8333,56.14,100,100,0.96,moderate rain
330,Kota Belud,MY,6.351,116.4305,86.34,62,39,3.09,scattered clouds
331,Hit,IQ,33.6416,42.8251,87.46,24,0,15.46,clear sky
332,Pogradec,AL,40.9025,20.6525,63.88,63,0,2.91,clear sky
333,Miles City,US,46.4083,-105.8406,90.57,33,0,19.57,clear sky
334,Chara,RU,56.9064,118.2631,52.36,89,100,0.72,light rain
335,Santa Rosa,PH,14.3122,121.1114,87.12,80,100,1.81,overcast clouds
336,Polson,US,47.6936,-114.1632,82.22,31,25,4.43,scattered clouds
337,Bahia Blanca,AR,-38.7196,-62.2724,46.42,62,13,11.18,few clouds
338,Mumford,GH,5.2618,-0.759,72.45,93,98,8.93,overcast clouds
339,Tibu,CO,8.639,-72.7358,74.21,98,87,0.87,overcast clouds
340,Maracas,BR,-13.4411,-40.4308,56.55,88,6,5.35,clear sky
341,Pemberton,CA,50.3164,-122.8027,94.69,41,12,3.49,few clouds
342,Bambanglipuro,ID,-7.95,110.2833,80.62,77,88,12.3,overcast clouds
343,Dayong,CN,25.0209,118.2898,90.1,57,90,2.3,overcast clouds
